run,question,decision,valid,choice,input_tokens,output_tokens,latency_ms,observation_age_s
destination-direct-paused,steering,0,True,straight,854,55,342.39,0
destination-direct-paused,pedals,0,True,accelerate,841,45,307.91,0
destination-direct-paused,steering,1,True,straight,922,55,286.73,0
destination-direct-paused,pedals,1,True,accelerate,909,45,325.77,0
destination-direct-paused,steering,2,True,straight,922,55,344.24,0
destination-direct-paused,pedals,2,True,accelerate,909,45,340.49,0
destination-direct-paused,steering,3,True,straight,905,55,268.75,0
destination-direct-paused,pedals,3,True,accelerate,892,45,265.58,0
destination-direct-paused,steering,4,True,straight,1001,55,367.14,0
destination-direct-paused,pedals,4,True,accelerate,988,45,328.77,0
destination-direct-paused,steering,5,True,straight,986,55,285.29,0
destination-direct-paused,pedals,5,True,accelerate,973,45,305.83,0
destination-direct-paused,steering,6,True,straight,987,55,291.67,0
destination-direct-paused,pedals,6,True,accelerate,974,45,264.32,0
destination-direct-paused,steering,7,True,straight,990,55,348.81,0
destination-direct-paused,pedals,7,True,accelerate,977,45,249.23,0
destination-direct-paused,steering,8,True,straight,1001,55,282.29,0
destination-direct-paused,pedals,8,True,accelerate,988,45,257.67,0
destination-direct-paused,steering,9,True,straight,986,55,283.1,0
destination-direct-paused,pedals,9,True,accelerate,973,45,274.94,0
destination-direct-paused,steering,10,True,straight,987,55,262.06,0
destination-direct-paused,pedals,10,True,accelerate,974,45,295.33,0
destination-direct-paused,steering,11,True,straight,1003,55,318.41,0
destination-direct-paused,pedals,11,True,accelerate,990,45,259.08,0
destination-direct-paused,steering,12,True,straight,989,55,270.86,0
destination-direct-paused,pedals,12,True,accelerate,976,45,292.91,0
destination-direct-paused,steering,13,True,straight,1001,55,284.9,0
destination-direct-paused,pedals,13,True,brake,988,44,296.21,0
destination-direct-paused,steering,14,True,straight,987,55,304.55,0
destination-direct-paused,pedals,14,True,brake,974,44,346.25,0
destination-direct-paused,steering,15,True,straight,989,55,308.91,0
destination-direct-paused,pedals,15,True,brake,976,44,317.75,0
destination-direct-paused,steering,16,True,straight,973,55,341.81,0
destination-direct-paused,pedals,16,True,accelerate,960,45,375.5,0
